"id","name","abbreviation"
"52e9e045-32d1-4b45-81ac-01927d646651","Alabama","AL"
"60a09a43-4cf1-4c9e-8eb5-7abd8055c837","Alaska","AK"
"fb142729-db9f-4f33-8d31-06cdc7cdd343","Arizona","AZ"
"8323ba66-5c11-4e22-a1ff-b18cbca3bb22","Arkansas","AR"
"26296f04-6af2-4251-a999-5f1381689fc8","California","CA"
"b6dd3061-6fca-41c7-b4ee-ef29df2a6c4e","Colorado","CO"
"25522552-31a0-4d64-be20-63024ac251f2","Connecticut","CT"
"8b82a90b-5a0f-44c8-9c0d-43613aa2bb63","Delaware","DE"
"e37f5b50-2735-4b85-bc63-9505810b84fd","Florida","FL"
"367c2979-7327-4cbf-9e9b-96d9c193184e","Georgia","GA"
"bd1269eb-35ae-44ef-9e8d-de9d4e937fdd","Hawaii","HI"
"fe97d94e-b820-4c4f-bbbe-77d248e90247","Idaho","ID"
"1434ac31-ebd7-4aea-9c3d-6788f5eac1fb","Illinois","IL"
"6239565c-67e5-46fe-b28e-53fd6cabf907","Indiana","IN"
"7423f1dc-61df-4be5-be95-81b9a593dff1","Iowa","IA"
"90a06861-cda5-4a33-8301-10b18fca275a","Kansas","KS"
"4728b960-0613-4728-91d9-70a231caaaae","Kentucky","KY"
"cff4ac13-aaba-4302-a4dd-e07b8412676f","Louisiana","LA"
"a220d65f-2925-4358-b0f6-f8d24d638904","Maine","ME"
"8ae29050-78f7-4eb5-968c-f1ee096781eb","Maryland","MD"
"25c381d3-36b9-4f54-8da6-d0550a8b4a00","Massachusetts","MA"
"911ac544-304c-4cca-81f3-df4ac50e6ae0","Michigan","MI"
"e0b6b397-fc12-4cac-a816-e943abf1fe32","Minnesota","MN"
"bcd00d0a-3c47-4577-8aa3-3859ac669e58","Mississippi","MS"
"ae57a91a-6933-4c04-aedd-fa68c5563348","Missouri","MO"
"9a5f0ba0-aeb9-4dea-b5c7-fe5f891dc5ae","Montana","MT"
"fd813e42-23ee-4a6f-976a-97bd0adb1570","Nebraska","NE"
"4cd4c4fc-4452-4cfa-9087-a377435dcbd7","Nevada","NV"
"b61d0528-0d50-437f-8ca5-2da6a8720518","New Hampshire","NH"
"63ca3c7e-6d63-4e5b-8f7c-c5e876207bb2","New Jersey","NJ"
"6b4dd4f2-bec4-412e-ab4f-939d4c166b33","New Mexico","NM"
"b4ecf399-4eb1-429a-b1c1-6de06ef4c527","New York","NY"
"a64ed83d-6307-4aa5-8773-0a2a2e9f932b","North Carolina","NC"
"c36c38d4-1064-43e0-9a71-479bdbf10d86","North Dakota","ND"
"1ce9ff5c-1ba8-484c-9b1e-87daf048b3f6","Ohio","OH"
"b72b20af-83c2-4a3d-9462-d99e006c8f00","Oklahoma","OK"
"7b77f8aa-04c3-42dd-b457-a54d45dbe2eb","Oregon","OR"
"06fd9067-7b63-4c5d-ab3c-897aab7117f8","Pennsylvania","PA"
"debc6705-0eb5-4f6c-8b69-2ef6ea173566","Rhode Island","RI"
"39475493-3c9d-474b-9598-e5e876b130b6","South Carolina","SC"
"5cf59cf9-26f1-44b5-b882-7aa86aa879aa","South Dakota","SD"
"ae8b84a9-79a3-454a-86c6-21aa2bf0217f","Tennessee","TN"
"67a69954-e283-4ac9-9731-01d37fb09264","Texas","TX"
"a4c8108c-f53e-4315-b962-8f125427506f","Utah","UT"
"047dbcc9-00d5-4648-8a37-3b009a597878","Vermont","VT"
"93cf905a-4cc5-4b24-9878-7b0b6005bbdc","Virginia","VA"
"df4d76d2-3e26-4765-9442-9d44e760c90c","Washington","WA"
"5474ce70-f2f8-43d7-b5ad-ccc307333314","West Virginia","WV"
"b585db5c-f158-4547-95f3-48b7b6e7c536","Wisconsin","WI"
"3871ecf1-ac6f-4311-8187-5439b96ce46f","Wyoming","WY"
